아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
gywj****,상위 10%,24.08.30,숏(-1000),블루,정사이즈예요,보통이에요,화면보다 밝아요,158,49,44,"*색상:아 색상이 카메라에 다 안 담겨요ㅜㅜ밝은 하늘색이라기엔 어둡고 회색빛깔이라기엔 하늘,파란색 계통이 많이 들어가있어요. 오묘해서 더 예쁜 색상이에요.
*재질: 사진 참고해주세요
*착용감: 세미크롭 사이즈라 넣어입을 수 있긴한데, 겉으로빼서 입는게 더 이쁜거같아요. 편합니다.
*기장감 및 핏: 세미크롭 사이즈고, 핏은 살짝 박시한 느낌이에요. 그래서그런지
바지안으로 넣지않고 겉으로 빼입어도 힙한 느낌들어요. 위에 가디건 어깨에 두르면 더 이쁠거같은 코디입니다",Free
HYBrEdTT,상위 10%,24.08.26,롱,블루,생각보다 커요,아주 만족해요,화면과 비슷해요,160,50,55,왜 인기가 많은 셔츠인지 알겠네요! 다른 리뷰에서 다들 이야기하는 것처럼 이 셔츠의 가장 큰 장점은 컬러예요 약간 오묘하고 차분한 하늘색이 정말 마음에 들어요 셔츠 두께는 꽤 두껍고 구김은 조금 있는 편이에요 사이즈는 약간 넉넉하게 오버핏으로 입을 수 있는 크기네요 마음에 드는 셔츠 추천합니다,Free
L4k9TTnB,,24.08.18,롱,베이지,정사이즈예요,아주 만족해요,화면과 비슷해요,160,53,66,완전 가볍게 걸치기 딱 좋아용 살짝 뻣뻣한 감이 있지만 신경쓰일 정돈 아니구 팔을 접어 올려야 이쁜 거 같아요 지금은 걸치는 용도로 입었지만 가을 겨울에도 입어도 이쁠 거 같아용 잘 샀네용,Free
WCCh0ykg,,24.07.30,롱,블랙,정사이즈예요,보통이에요,화면과 비슷해요,164,61,55,"생각보다 기장이 좀 짧은듯 해요
사진은 옷이랑 같이 개어져 있던 속지이고 그거 따라서 다시 제가 접은거에요
얇긴한데 비치지 않고 요즘날씨에 입기는 힘들듯 해요
가을쯤에 입을듯
그리고 잘 구겨지는것 같아요
팔쪽에 주름이 많이 잡힌채로 와서 한번 다려주고 입으면 좋을것 같아요",Free
zTXChXIG,상위 10%,24.07.24,롱,블루,정사이즈예요,보통이에요,화면과 비슷해요,,,,항상 겉옷으로 셔츠를 챙겨다녀서 구매하였습니다. 두께감이 생각보다 있어 4계절용이지만 여름을 제외한 계절에 입어야 할 것 같습니다. 세탁 후 주름이 져서 다림질은 필수입니다. 촉감이 일반 셔츠와 달리 조금 오돌톨한 느낌인데 색다르고 마음에 드네요 ㅎㅎㅎ 특히 봄 가을용으로 잘 입을 것 같은데 빨리 입고싶네요~,Free
zTXChXIG,상위 10%,24.07.24,롱,차콜,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,항상 겉옷으로 셔츠를 챙겨다녀서 구매하였습니다. 두께감이 생각보다 있어 4계절용이지만 여름을 제외한 계절에 입어야 할 것 같습니다. 세탁 후 주름이 져서 다림질은 필수입니다. 촉감이 일반 셔츠와 달리 조금 오돌톨한 느낌인데 색다르고 마음에 드네요 ㅎㅎㅎ 특히 봄 가을용으로 잘 입을 것 같은데 빨리 입고싶네요~,Free
ys0lkd6N,상위 5%,24.12.21,롱(+1000),아이보리,생각보다 커요,보통이에요,화면과 비슷해요,167,48,55,원단이 너무 얇지 않아 비침이없어 좋아요. 팔은 긴편이고 전체적안 핏은 낙낙 한 편입니다. 레이어드용으로 구입 했지만 단독으로 입어도 예쁠 것 같아요. 전반적인 퀄리티 좋습니다.,Free
g4Iw37xA,상위 15%,24.11.27,롱(+1000),아이보리,정사이즈예요,보통이에요,화면과 비슷해요,160,55,55,기본템으로구매했는데 제가 생각한 재질이 아니네요 ㅋㅋ 그래도 핏이 이쁘고 살짝 린넨(?)마(?)같은재질이예용 길이가 긴버전으로샀는데 너무박시한스타일이아니라 넣어입느게 이쁠것같아용,Free
따스한코코아,탑리뷰어,24.11.24,롱(+1000),블루,생각보다 커요,아주 만족해요,화면과 비슷해요,168,53,55,색감은 모델컷과 비슷하구요. 톡톡한 천이라 겨울에 단독으로는 어렵겠지만 조끼나 가디건이랑 입으면 예쁠 것 같아요. 아주 예쁜 블루 색상입니다.,Free
XT9AOjQh,상위 15%,24.11.04,롱(+1000),블루,정사이즈예요,아주 만족해요,화면과 비슷해요,169,64,77,박시하게 입는편인데 너무 크지도 작지도않고 멋스럽게 딱 좋아요 천도 맘에들고 색깔도 너무 맘에들어요 하늘색+그레이 느낌. 쿠키 받으려고 샀지만 가격도 좋고 너무너무 맘에 듭니다,Free
