아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
djsw*****,,24.03.23,오트밀,FREE,정사이즈예요,별로예요,화면과 비슷해요,167cm,64kg,상의 77,"가격대비 나쁘지않은거같아요 보이는부분은 거의 문제 없구요 
안보이는부분이지만 겨드랑이부분 봉제선이 엇나있고 안감이 거칠어서 이너없이는 착용이 불편했습니다
그래두 잘입고다닐거같아요!!"
fhCkMqOj,,24.02.17,그레이,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,153cm,60kg,상의 77,데일리로 무난하게 입을 수 있는 아이템이라 손이 자주가요. 색도 예쁘고 레터링 크기도 적당해서 좋아요! 요즘 자주 입는데 잘 입을게요!
꿍따꿍,상위 20%,25.01.02,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,153cm,58kg,상의 55,"기모는 아니지만 안에 긴팔티 입고 입으면 따뜻해요.
박시한 핏을 원했는데 원하는 핏이고
나그랑맨투맨 원했는데 제가 원하는 디자인이라 마음에 들어요"
브로콜리쿤,상위 10%,24.12.25,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,161cm,51kg,상의 55,착용감 너무 편하고 예뻐요! 컬러도 예쁘고 저렴한 티가 안나 잠옷으로도 입고 잠깐 집앞에 나갈때도입고 해용 회사갈때도 입엇어요!! 굿굿 ㅎㅎ
Jz190Xa9,상위 10%,24.12.13,오트밀,FREE,생각보다 커요,보통이에요,화면과 비슷해요,160cm,60kg,상의 66,사이즈는 생각보다 컸지만 나그랑 맨트맨이어서 무난허게 입을 수 있어요~ 기본템으로 입기 좋아요😄 오트밀 색상이라 적당히 밝아 어떤 하의든 다 잘 어울려요
행복한뿌루루,상위 20%,24.12.06,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,168cm,54kg,상의 55,배송도 빠르게 너무 예쁘네요 어깨선이 사선으로 되어있어서 품이 커보이지도 않아요 기모도 있으면 좋겠지만 기모는 없네요 다른 색도 구매하려구오
OXd5MFIM,,24.12.01,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,길이감은 딱 세미크롭 기장이에요. 많이 길지도 않고 짧지도 않은 엉덩이 위까지 내려오는 기장. 약간 아쉬운 건 옷 안쪽이 좀 거칠어서 따가울 수 있어요.
토리뉴나,,24.11.24,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,42kg,상의 44,너무너무 이뻐요 ㅠㅠㅠ 세탁 하고 건조기 돌리니까 아주 조금 줄어들긴 했어요 그래도 색감도 이쁘고 너무 맘에 들어용 안감 소재는 조금 꺼슬 거리긴 합니당
uSDaXF9Q,,24.11.21,네이비,FREE,정사이즈예요,보통이에요,화면과 비슷해요,163cm,58kg,상의 55,사진보단 어두운 남색이예요! 찾던 느낌의 래글런이라 사이즈 품이 맞아서 너무 만족하지만 내부에 거칠거리는 질감과 보풀어 엄청나네요🥺 핏은 만족합니다
COmRi4EM,,24.11.20,오트밀,FREE,정사이즈예요,보통이에요,화면과 비슷해요,161cm,51kg,상의 44,무난해서 언제든 입기 너무 좋아요. 두께도 두껍지 않아서 안에 얇게 받쳐입거나 해도 좋을 거 같아요. 몇번 세탁했는데 목 늘어짐도 별로 없어서 만족스럽습니다!
sskm*****,상위 20%,24.11.17,오트밀,FREE,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"옷 너무너무 ㅇㅖ쁘고 맘에 들어요 고퀄이라 네이비색도 하나 더 주문했어요 
보플도 안일어날거같고. 사이즈도 넉넉하고 색깔이 진짜 고급지고 재질도 좋아요"
