아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용,제품_사이즈
ZKZkn6fv,,24.05.26,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,170,55,55,"이옷 진짜 맛도리에요! 
부유방 싹 가려줘서 팔 얇아보이고 끈 조절도 가능하고 기장도 따 맘에들어요.. 
너무 만족스러윤 소비였습니다",Free
yfDAO2y3,,24.05.21,Ivory,Free,생각보다 커요,보통이에요,화면과 비슷해요,161,52,55,배송이 빨라서 만족합니다. 어깨끈 조절도되고 옆쪽에 자크 최대로 내리고 찍은 사진이에요 참고하세용 가디건이랑 같이 코디하면 예쁠거같아요,Free
NoBi1eU2,,24.03.31,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,163,54,44,"아주 굳 입니다💛
부유방 가려주고, 살쪄서 우울한데 커버되고,
믾이 먹어도 배 안 보여서 최고ㅋㅋㅋ😎
손빨래했는데 주름 안 가고 옆에 지퍼 있어서 입고 벗고도 편해요..🫶",Free
biOT1O7C,,24.11.14,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,155,45,44,파인거 별로 안좋아하는데 끈조절이 돼서 체형에 맞게 조절할 수 있어서 좋아요! 밑에도 널널해서 바람이 잘통해서 여행가서 시원하게 입을 수 있었어요,Free
8WEjTYKM,,24.11.01,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,160,53,55,우선 옆에 지퍼가 있어서 입고 벗을때 너무 편합니다 재질도 적당한 탄탄함에 싸보이지않습니다 안에 티를 레이어드해도 단독으로도 가디건을 걸치기도 좋습니다 굳,Free
9A3VMAlX,,24.08.18,Black,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,158,50,55,"예정 발송보다 빨라서 너무 좋았고~옷이 너무 이뻐요,완전 내~취향 저격~완전 내 옷이고 핏이 이뻐 말라보여서 좋음~!",Free
ed3jANFQ,,24.05.16,Ivory,Free,생각보다 커요,아주 만족해요,화면과 비슷해요,164,55,55,다른 리뷰들에서 부유방이 잘 가려진다기에 샀는데 평소 55사이즈를 입는 저에게도 너무 잘 가려졌습니다! 이 가격에 이 퀄리티인 게 믿기지 않을 정도에요..🩷 다른 색으로 재구매 의사도 있습니다ㅎㅎ(사진은 옷 뒤집어서 걸어둔 거에요),Free
HKXFFvIn,상위 30%,24.09.15,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,155,52,66,"여행가서 휘뚜루마뚜루 잘 입었어요!!!

부유방 커버 잘해주고
여리여리해보입니다 ㅎㅎㅎ

여름나라여행갔을때 필수~
연청바지랑 입으면 굳입니다",Free
wjdd******,상위 10%,24.09.09,Ivory,Free,정사이즈예요,보통이에요,화면과 비슷해요,161,54,55,"이런디자인이 너무 입고싶었지만 가슴부분이 다 작은것 같아서 못입었었는데 이건 좀 넉넉한 것 같아서 구매해봤어요
이것도 역시나 딱맞아서 모델분들같은 여리핏은 안나오지만 디자인은 이쁜 것 같습니당ㅠ",Free
FwudWiUI,,24.08.22,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,165,51,44,후기보니까 얇은 가디건이랑 많이 매치해서 입었길래 자도 그레이 가디건 하나랑 같이 구매해서 입어줬는데.. 왠일이야 너무 예쁘잖아.. 너무 조이지도 펑퍼짐하지도 않은 예쁜 나시 블라우스에요!,Free
gX47kFgx,상위 30%,24.08.13,Ivory,Free,정사이즈예요,보통이에요,화면과 비슷해요,164,53,66,너무 핏 예뻐요 ㅠㅠ 여행갈 때 입었는데 옷이 예쁘니따 사진도 잘나오고 맘애 들어욬ㅋ 왜이제서야 샀는지 싶을 정도로 부유방 확실히 잡아주고 핏도 넉넉하니 예쁩니다 무조건 사세요!,Free
kgNRzVZK,,24.07.21,Ivory,Free,정사이즈예요,보통이에요,화면과 비슷해요,165,59,66,예뻐요 티셔츠 위에 입어도 이쁘고 그냥 입어도 이뻐요(그냥 입기엔 제 팔뚝이 허락해주지 않네요) 지퍼가 약간 뻑뻑한 거 말고는 대만족이에요 +약간 임산부st으로 배그 나와보이는데 많이 먹는날 배나옴 커버하기 좋다고 생각하려구요,Free
f3szMtRz,,24.07.01,Black,Free,정사이즈예요,보통이에요,화면과 비슷해요,168,61,66,흉통 좀 크거나 가슴 크신분들은 작을수 있을 것 같아요 부유방 확실하게 잘 가려주고 이 가격에 퀄리티 이정도면 괜찮은것 같아요 굿👍🏻👍🏻근데 다만 가슴쪽 박음질이 꼭g 처럼 보인다는 말이 어떤 말인지 알 것 같아요ㅠ,Free
Y4bJlBw2,상위 20%,24.06.21,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,160,56,55,제주도 여행 갈 때 입었어요 ! 끈 조절 되는 것도 좋았고 너무 체형이 부해보인가더나 뜨는 느낌없이 딱 예쁘게 입을 수 있었어요 그리고 끈 조절 되는 게 좋았습니다 ! 근데 흉통 크신 분들은 흉통 쪽이 조금 조일 수 있을 것 같으니까 사이즈 잘 보시고 구매하시는 걸 추천 드립니다 !,Free
iYtapC0v,상위 15%,24.06.21,Ivory,Free,정사이즈예요,아주 만족해요,화면과 비슷해요,160,61,66,퀄리티가 정말 좋아요. 마감이 정말 깔끔하고 나시 끈도 튼튼해보여요!! 근데 바스트 큰 사람은 좀 답답할 것 같아요. 전 없는 편인데도 조금 답답하더라구요. 일단 부유방 커버는 완벽합니다!!,Free
