아이디,리뷰어 등급,작성 날짜,옵션1,옵션2,상품 사이즈,퀄리티,색감,키,몸무게,사이즈,리뷰내용
tNOIPKBe,,24.11.10,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,,,,"부드럽고 절개 부분이 포인트라 마음에 듭니다
 이너로 입기 좋은 제품이라 추천합니다
건조기에 돌리면 줄어드는 것 같으니 유의하시면 좋을 거 같아용"
NO6mr7fe,상위 20%,24.11.07,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,167cm,66kg,상의 77,생각보다 쫀쫀하고 핏도 예뻐여!! 살쪄서 걱정했는데 생각보다 날씬해 보이고 좋아요!!! 다른 색상도 사고 싶어요!
QPau0DPK,,24.11.07,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,164cm,53kg,상의 55,베이직이즈베스트입니다. 흰색 샀는데 단독으로도 자주 입고 레이어드 해서도 잘 입고 있어요. 특히 절개 부분이 너무 매력 있어서 만족하고 있습니다. 강추!
P4KQoKXT,,24.11.07,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,,,,마감이 좀 별로이긴 했는데 옷은 맘에 들어서 제가 좀 정리해서 입으랴구요! 지금 단독으로 입기엔 얇아서 이너로 입어야할 것 같아요
YoWxCciu,,24.11.01,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,52kg,상의 55,무난하게 입기 좋은 컬러고 특히 청바지에 무난하게 입기 너무 좋은 무난템! 그런데 또 이제 슬림해 보이고 편하고 예뻐요!
0FM4aHbl,,24.10.28,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,162cm,45kg,상의 44,"절개도 이쁘고 어깨 포인트 못보고 샀는데 
예쁩니다 여리여리 끝판왕
딱맞는 사이즈라 통통하신분들은 살짝 살 부각이될 수 있을것 같아요"
청소기,,24.10.27,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,170cm,49kg,상의 44,편하고 따뜻해요 너무 얇지 않아서 비치지 않아서 좋아요 길이도 적당합니당 키가 큰 편이라 짧을까봐 걱정했는데 나쁘지 않았어요 ! 팔 길이도 넉넉해서 편하게 입읗 수 있습니당 다음에 또 구매할게요
X5ytpLV2,,24.10.26,그레이,,정사이즈예요,아주 만족해요,화면과 비슷해요,155cm,46kg,상의 55,"작년에 흰색 검은색 사서 너무 잘입고 다녀서
올해 추가로 샀어요!
재질도 좋고 그냥 기본티로 여기저기 막 입고다니기 좋은거같아용"
EDyA1aQD,상위 25%,24.10.20,소프트블루,,정사이즈예요,보통이에요,화면과 비슷해요,160cm,50kg,상의 55,"화면과 비슷해요. 
길이는 허리 밑 팔소매는 적당히 길구요
막 날씬해보이는건 모르겠어요. 
어깨선이 뭔가 안맞는느낌?
쫀쫀한 느낌입니다."
omwnkk7U,,24.10.17,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,163cm,52kg,상의 55,"핏이 예뻐요
박음질도 나쁘지않아요
뒷쪽에 디자인이 들어가서 그런지 내복같은 느낌도 없어서 하나만 입어도괜찮아요!!"
yDO5xzzG,,24.10.16,그레이,,정사이즈예요,보통이에요,화면과 비슷해요,153cm,43kg,상의 44,"몸집이 작은편인데 착 달라붙어서 핏 짱입니당 화이트도 사고싶은데 배송비있길래 그레이로 패스 ㅎ
적당히 넥라인 파여서 라인 예뻐용"
c1mXPZ0x,,24.10.14,워터리민트,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,49kg,상의 55,색감이쁘고 슬릿 디테일이라 예뻐요! 너무 꽉끼거나 핏하지 않고 얇아서 레이어드로 입기 괜찮아요! 파임도 적당해서 굿이요
fAHi3bUl,,24.10.12,블랙,,작아요,아주 만족해요,화면과 비슷해요,155cm,50kg,상의 55,믿고 사는 슬앤 재질탄탄하고 좋아요 사이즈는 약간 타이트합니다 그래도 슬림해보여서 아주 만족합니다 잘입을겠습니다~!
wVVPYyDl,,24.10.11,아이보리,,정사이즈예요,보통이에요,화면과 비슷해요,161cm,55kg,상의 55,"얇고 질도 괜찮은것 겉어용 
아주 여리여리함이 100배 상승하는 옷입니당 고민하는 분들은 빨리 사셔용 ㅎㅎ 
좋아요!! ㅎㅎ"
9axo3qti,상위 20%,24.10.09,워터리민트,,정사이즈예요,보통이에요,화면과 비슷해요,153cm,44kg,상의 44,색깔 예뻐요. 근데 옆구리쪽 절개선이 앞쪽으로 휘어지는데...이게 앞에서 보면 허리가 얇아보이는데 옆에서 보면 배가 나와보여요...
aOWTZXS0,,24.10.07,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,48kg,상의 44,"골지라서 싼티 안나고 예뻐요!!
너무 얇지도 않고 기본에 충실해요
속옷도 잘 안비치는거같고 소매가 예쁘게 길어요
완전 만족합니다🤍"
W3D5OR0j,,24.09.30,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,158cm,40kg,상의 44,배송도 엄청 빠르고 부들부들해서 너무 만족합니다 아이보리랑 그레이 구매했는데 다른 색상도 또 구매하고싶어요 뒷모습까지 이뻐요
HsYKzIpV,상위 25%,24.09.30,아이보리,,정사이즈예요,아주 만족해요,화면과 비슷해요,152cm,44kg,상의 44,적당한 파임돠 두께.. 어디든 입기 좋아요. 단독이든 이너로든 레이어드로든 진짜 최고입니다! 핏하게 맞아서 날씬해보이고 좋아요!
8XadmXUy,상위 20%,24.09.28,소프트블루,,정사이즈예요,보통이에요,화면과 비슷해요,170cm,55kg,상의 55,몸에 쫙 붙는 핏입니다 모델컷처럼 나올려면 정말 개말라 인간이어야 할것같아요 쫙 붙어서 내복느낌 한스푼인데 밑에 틔임이랑 뒷판 덕에 덜 그래보이는 편입니다 손등까지 덮는 소매라 더 예뻐보여요
t0deAsMq,,24.09.26,워터리민트,,정사이즈예요,보통이에요,화면과 비슷해요,160cm,44kg,상의 55,"컬러 이쁘고 배송 빨라요
타이트한편이라 이너로 입기 ㄱㅊ을거가타요
뒷면에 절개선있어요 ㅎㅎ 마감은 별로 정리가 안되있어요 ㅜㅜ"
UK4NQZZP,,24.09.26,블랙,,정사이즈예요,아주 만족해요,화면과 비슷해요,159cm,52kg,상의 44,"쫀쫀하고 날씬해보이고 좋네요
목부분도 튼튼해요!
가을와서 이너티로 샀는데 만족합니다
그리구 밑에 트임이 포인트라서 예뻐요~"
